fa_0000|۱۴ م ژوئن است.
fa_0236|لازم نیست همه جواب ها را داشته باشیم تا درخواست تغییر کنیم
fa_0237|آیا هنوز پدر بزرگ و مادر بزرگ تو زنده هستند؟
fa_0238|خواستار اصلاحات حیاتی در مورد حقوق بشر بود
fa_0239|لاس زد
fa_0240|خواندن این کتاب برای او یک سوال اساسی ایجاد کرد
fa_0241|لامپش سوخته
fa_0242|خواهر کوچک تو چه شکلی است؟
fa_0243|آیا وسیله نقلیه بیمه بود؟
fa_0244|بیا بهش دروغ بگیم
fa_0245|آب یا شراب، مجبور به انتخابم نکن
fa_0246|با تو موافقم.
fa_0247|ابتکاری جهانی است برای قطع انتشارات گاز گلخانه‌ای
fa_0248|ابتلا به بیماری‌های ریوی مزمن هم مهم است
fa_0249|لحظه‌ی تحویل سال هجری شمسی به ساعت رسمی کشور
fa_0250|هیچ اتاق ویژه ای برای افراد معلول داریدژ؟
fa_0251|آبدوغ خیار
fa_0252|باید اتفاقی که واقعا رخ داده را بیان کنید
fa_0253|هیچ باری را ثبت می کنید؟
fa_0254|هیچ بالشتی وجود دارد؟
fa_0255|بیایید اسلوونیایی صحبت کنیم.
fa_0256|هیچ برس لباس دارید؟
fa_0257|آبروي هيئت رفت
fa_0258|خودتان کیف هایتان را بستید؟
fa_0259|لطفا اینجا صف بکشید
fa_0260|آبگینه
fa_0261|آبگوشت
fa_0262|هیچ پولی ندارم.
fa_0263|هیچ توری به زبان استونی وجود دارد؟
fa_0264|باید باشگاهمو دوباره شروع کنم.
fa_0265|هیچ توری وجود دارد؟
fa_0266|هیچ جایی دارید بارمان را بگذاریم؟
fa_0267|باید برای این موارد گمرک پرداخت کنید.
fa_0268|خود را مشغول بازی با گلدان نشان میدهد
fa_0269|خوراک مغز
fa_0270|باید بگذارید قلبتان بشکند
fa_0271|هیچ چیزی برای گلو درد دارید؟
fa_0272|آبی و زرد، سبز را می‌سازد.
fa_0273|بیایید جای خوبی برای رفتن پیدا کنیم.
fa_0274|لطفا به آواهای مشترک در تلگرام بپیوندید
fa_0275|باید دید چند مرده حلاجه.
fa_0276|خوشحال می شوم چنین کنم.
fa_0277|لطفا به من ماساژ صورت بدهید.
fa_0278|هیچ دائره المعارف دیکشنری دارید؟
fa_0279|باید قطار را تعویض کنید.
fa_0280|باید یک بار دستپخت من را بچشی
fa_0281|هیچ رنگ دیگری از آن دارید؟
fa_0282|یه چیزایی توی چشاته که دلمو میلرزونه
fa_0283|خویش فرما هستم.
fa_0284|خون خود را کشید و آن را به او منتقل کرد
fa_0285|هیچ شیر سویا دارید؟
fa_0286|اتاق خالی موجود نیست
fa_0287|لطفا جیب های خود را خالی کنید.
fa_0288|لطفا در گوشه توقف کنید.
fa_0289|اتاق کثیف است.
fa_0290|باران متوقف شد.
fa_0291|لطفاً روی این نقشه نشان دهید کجا هستم.
fa_0292|هیچ کسی سراغ مرا گرفت؟
fa_0293|داروی شفابخش روح آدمی فلسفه است
fa_0294|هیچ کمکی نیاز دارید؟
fa_0295|بار من شکسته است و بعضی چیزها گم شده است.
fa_0296|هیچ گروه مورد علاقه ای داری؟
fa_0297|هیچ مایعی دارید؟
fa_0298|دامنه پژوهش در ادبیات تطبیقی متفاوت است
fa_0299|هیچ محافظت آنتی‌بادی وجود ندارد
fa_0300|هیچ مسکنی دارید؟
fa_0301|لطفا یک چاقو به من بدهید.
fa_0302|هیچ مغازه محلی وجود دارد؟
fa_0303|هیچ نعمتی بالاتر از دوستی نیست نه ثروت و نه لذت
fa_0304|هیچ هزینه اضافه ای؟
fa_0305|اتوبوس بعدی به ریودوژانیرو چه ساعتی است؟
fa_0306|در آبرنگ با رقیق کردن رنگماده مى‌توان سايه‌روشن‌هاى زيبايى ايجاد کرد
fa_0307|در اتاق نشیمن راحت باشید.
fa_0308|باغ گیاه شناسی کجا است؟
fa_0309|اجازه دارم به شما یک نوشیدنی تعارف کنم؟
fa_0310|باغ می خواهید؟
fa_0311|هرچند وقت یک بار به کمپ می روی؟
fa_0312|با قاعدگی، مغز تخمدان را برای تخمک‌ریزی تحریک می‌کند
fa_0313|اجازه نداشت محبت یا آسیب پذیری، کنجکاوی، یا تردید نشان دهد
fa_0314|لطفاً ممکن است قیمت این را برای من ارزیابی کنید؟
fa_0315|اجاق گاز چطور کار می کند؟
fa_0316|اجرای احجام ساده مثل کره
fa_0317|با کامپیوتر کار می کنم.
fa_0318|در اوایل جولای.
fa_0319|با کچاپ یا مایونز؟
fa_0320|احترامت واجبه خان‌دایی اما حرف از مردونگی نزن.
fa_0321|رفته بودی تو اتاق من؟
fa_0322|با گذر زمان، آنها تخته هایی را به شالوده‌ی کنده‌ی درخت افزودند
fa_0323|لوآندا
fa_0324|هرگز دوباره مشروب نخواهم خورد!
fa_0325|در برخی نمونه‌ها در چین، عفونت همزمان با آنفلوانزا رخ داده است
fa_0326|در بیشتر شکل‌ها همگی در مفهوم عام آن
fa_0327|هر لقمه غذایی که می‌خوریم از طبیعت می‌آید
fa_0328|احمقی كه سير و توانگر گردد
fa_0329|با موبایلش حرف می زند
fa_0330|ما الان فکس شما را دریافت کردیم.
fa_0331|هزینه کرایه یک لباس غواصی روزانه چقدر است؟
fa_0332|اخبار را برای من بفرستید، وقتی هیچ چیز بیشتری دانستید.
fa_0333|هزینه یک سبد گل چند است؟
fa_0334|هزینه مبر این نامه ها چقدر می شود؟
fa_0335|ما اهل سوئد هستیم.
fa_0336|با هر رنگی رفاقت کن اما رفاقت را رنگ نکن
fa_0337|درحال غواصی هستیم
fa_0338|آخرین قطار با استانبول چه موقع است؟
fa_0339|درحالی‌که اهالی آفریقای شرقی آبجو را از موز و نخل درست کردند
fa_0340|باهم هماهنگ بشیم ولی حقیقت اینه که توی ذهن هرکسی، زمان یه جوری میگذره
fa_0341|اَخگر
fa_0342|اِخلاص
fa_0343|ببخشید، اتاق شما آماده نیست.
fa_0344|یه عروسک ناز با یه چمدون
fa_0345|ما پرتقال خواهیم خورد.
fa_0346|ببخشید اما می توانم سفارشم را عوض کنم؟
fa_0347|در دانشگاه لیورپول هستم.
fa_0348|ما تحقیقات انجام می دادیم
fa_0349|آداپتور دارید؟
fa_0350|آداپتور نیاز دارم.
fa_0351|هفتگی یا ماهیانه به من پرداخت خواهد شد؟
fa_0352|هفده
fa_0353|ما خوشحال هستیم که نامزدی دخترمان را اعلام کنیم.
fa_0354|هلوها کی می‌رسند؟
fa_0355|در رو یه خورده باز بذار
fa_0356|مادر بزرگا هیچ وقت دروغ نمیگن
fa_0357|ببخشید، من مکالمه شما را شنیدم.
fa_0358|آدرس چیست؟
fa_0359|ببخشید، هیچ خرچنگ دریایی بیشتری باقی نمانده است.
fa_0360|مادرم چیزی راجع به قاعدگی نمی‌دانست
fa_0361|درست آن طرف خیابان است.
fa_0362|ببین اون جوری که اون پسر خاله
fa_0363|یاد یک لطیفه قدیمی افتادم
fa_0364|مادرم عاشق سریالهای تلویزیونی است.
fa_0365|ماده رنگى با ماده‌اى ژلاتينى که معمولاً زرده تخم‌مرغ است
fa_0366|ما دوست داریم سفارش مان را کنسل کنیم.
fa_0367|آدم از زنشم دوبار خداحافظی نمیکنه چه برسه به دوستش
fa_0368|هی می خواستم باهاش حرف بزنم نمی تونستم
fa_0369|در شغل جدیدت موفق باشی!
fa_0370|ما راهنما نیاز داریم.
fa_0371|بتونه خالص شه
fa_0372|مارمولكها كه می‌توان آنها را گرفت اما به كاخ پادشاهان راه می‌يابند
fa_0373|بیچاره گوشیش رو زدن.
fa_0374|همیشه مضطرب بودم و احساس گناه و شرمساری می کردم
fa_0375|ماشین خراب شده است.
fa_0376|همینطور بازگرداندن اون‌ها به شکل اولیه
fa_0377|همین‌طور توسط اندام‌ها تحت تاثیر قرار بگیره
fa_0378|بی‌خانمان‌ها و طوفان‌زدگان را سوی من راهی کنید
fa_0379|بخش پارچه کجا است؟
fa_0380|در کدام راهرو می توانم غذای کنسرو شده پیدا کنم؟
fa_0381|در یک ساعت آینده اتفاقی قابل توجه رخ خواهد داد
fa_0382|در کل شاعران از بسیاری از نقاشان و موسیقی‌دانان متاثر گشتند
fa_0383|همه باهمیم تمام بچه‌های باشگاه
fa_0384|در یک هفته.
fa_0385|بخوای منو ببینی، تا همه چیز رو مرور کنیم
fa_0386|ما عادت داشتیم با هم به ماهیگیری برویم.
fa_0387|همه تغییر دهند، لطفا.
fa_0388|بخواهم صادق باشم، باور این سخت است.
fa_0389|همه‌جا شادمانی قشر نازکی است که روی رنج و بیچارگی کشیده‌اند
fa_0390|درمان چقدر طول می کشد؟
fa_0391|ما فقط نیاز به شجاعت داریم
fa_0392|همه چیز از کنار اون رودخونه شروع شد
fa_0393|بَدیعه
fa_0394|بدلیل کوچک و متعدد بودن امکان جراحی وجود ندارد
fa_0395|آریابرزین
fa_0396|ما گندم سیاه پرورش می دهیم.
fa_0397|بدون یخ، لطفا.
fa_0398|در مورد شکم بزرگ خود چه کار می توانم انجام دهم
fa_0399|بدون نسخه می توانید این دارو را بگیرید.
fa_0400|همون یك دفعه درس عبرت نشد؟
fa_0401|همونی که زیر چادر شلوار لی می پوشه
fa_0402|در مورد کیسه صفرا سوال داشتم
fa_0403|در هر صورت بايد پيش از آغاز بکار زمينه‌سازى آن انجام شود
fa_0404|هندونه بیار قاچ کنم لباتو بیار ماچ کنم
fa_0405|برای این قضیه هفته‌ها وقت صرف شده.
fa_0406|دیروز برف بارید؟
fa_0407|دیروز به نمایشگاه بین‌المللی تبریز رفتم
fa_0408|مامان خیلی اصرار کرد تا شهال قبول کنه
fa_0409|برای بدبختی و دردمندی آن اشخاص احساس تاسف می کردم
fa_0410|دُز آن چقدر است؟
fa_0411|هنوز دوسال نگذشته بود که سر و کله
fa_0412|برای بهترین سوپ در بروسل کجا می روید؟
fa_0413|باید اینکار انجام می شد
fa_0414|آرامگاه باباقاسم
fa_0415|دیزل مصرف می کند.
fa_0416|آرامگاه علاءالدین شهشهان
fa_0417|ماناگوآ
fa_0418|برایت زندگی شاد و طولانی آرزو می کنم!
fa_0419|دستت را از جلوی من بردار!
fa_0420|آریان
fa_0421|دست رو موهات کی میکشه وقتی منو نداری
fa_0422|ما نرخ ویژه برای تمدید اقامت پیشنهاد می دهیم.
fa_0423|مانند ارسطو که در آغاز کتاب شعر خود
fa_0424|مانند بررسی جایگاه اخلاق مسائل جامعه شناختی
fa_0425|دستگاه فتوکپی کجا است؟
fa_0426|برای حمل بارتان کمک می خواهید؟
fa_0427|دشوار گویی و داشتن زبان بسیار دشوار
fa_0428|و از این منظر شعر ناب پدید می‌آید
fa_0429|و از تاثیرات آن روی خودش رنج نبرد
fa_0430|ما واقعاً از مسافرت‌مان لذت بردیم.
fa_0431|ارتباط قطع شد.
fa_0432|واژه عربیِ «عود دود کردن»، از خاطرم می‌رود
fa_0433|دکتر برادرم دیوانه شده است فکر می‌کند که یک مرغ است
fa_0434|واسه چی چراغ رو روشن می کنی؟
fa_0435|مبهوت به سمت شهال می رود
fa_0436|متاسفم، اما این غیرممکن است.
fa_0437|دگرباشان ایرانی بارها مورد حمله و ضرب و شتم قرار گرفته‌اند
fa_0438|متاسفم، اما سوپ میگو تمام شده است.
fa_0439|واقعا خیلی دیر است؟
fa_0440|واقعیت این است که هر قطره آبی که می‌نوشیم از طبیعت می‌آید
fa_0441|برای کار اضافه به من پرداخت خواهد شد؟
fa_0442|و اگر حس کردند به آن دچار شده‌اند چه باید بکنند
fa_0443|دلم برای تو تنگ شده است.
fa_0444|متأسفم، ما کارت اعتباری قبول نمی کنیم.
fa_0445|برای هم صدایی هم زبونی اومدی
fa_0446|و برای ایجاد عدالت بهداشتی حمایت جلب کنم
fa_0447|دنیای هنر و ورزش در جهان تبدیل شده است
fa_0448|متشکرم که امروز به اینجا آمدید.
fa_0449|دنبال این هستید که بخرید یا اجاره کنید؟
fa_0450|متقاعد کرد
fa_0451|برخاستن چو ققنوس
fa_0452|متناسب سازی ترکیب صورت در زوایای مختلف و در پرسپکتیو طراحی
fa_0453|دنبال چه نوع محل اقامتی می گردید؟
fa_0454|و تو را سرگشته يافت، پس هدايت كرد؟
fa_0455|برده‌ای كه پادشاه شود
fa_0456|می توانی به من کمک کنی و ظرف ها را بشویی؟
fa_0457|بررسی یک شاعر یا نویسنده که آثارش فراملی می شود
fa_0458|دین و مدرسه باید از هم جدا باشه،
fa_0459|آرشا
fa_0460|ده پوندی، لطفاً.
fa_0461|و در سایت هایی مثل فیس بوک و تویتتر هم
fa_0462|و درسی کوچک به او می‌دهم
fa_0463|و در طی قرن نوزدهم و بیستم رواج یافت
fa_0464|و دیگر شعرهای پیشرفته عرب هم پدیدار شد
fa_0465|دیوالی به شما مبارک!
fa_0466|ارغوان
fa_0467|برلین
fa_0468|ورود ممنوع
fa_0469|دوتا اتاق خواب، یه آشپزخانه، یه حمام دارد.
fa_0470|برمه
fa_0471|دو تا لیوان خوردی ولی اشکال نداره بازم بخور
fa_0472|دو جنس کافی نیست: زن، مرد، میان‌جنسی
fa_0473|می توانید بگویید ساعت چند است؟
fa_0474|یوسف قرضاوی
fa_0475|می توانید پالتو تان را دربیاورید، لطفا؟
fa_0476|برنامه های شما برای امروز چیست؟
fa_0477|می توانید چیزی برای سرفه به من بدهید؟
fa_0478|برو برام دو تا صفحه پرینت بگیر بیار.
fa_0479|وقتی امپراتوری روم به سمت جنوب در حال گسترش بود
fa_0480|دوست داری بازنشسته شوی؟
fa_0481|برو لباست رو عوض کن الان مهمون‌ها میان.
fa_0482|دوست دارید به ما بپیوندید؟
fa_0483|آیرودینامیک مطالعه چگونگی رفتار اجسام به هنگام حرکت در گازها است
fa_0484|میتوانید عکس ها را از این کارت حافظه چاپ کنید؟
fa_0485|وقتی شما به تبعیض جنسیتی یا هر نوع بی عدالتی دیگری اعتراض کنید
fa_0486|از احتمالات دیگه صحبت نکن ما شانس نداریم
fa_0487|می توانید کتاب فروشی دست دوم رو به من نشان دهید؟
fa_0488|دوست دارم با مهماندار هواپیما صحبت کنم.
fa_0489|وقتی ماشین آماده شد با من تماس خواهید گرفت؟
fa_0490|دوست دارم توسط شرکت شما استخدام شوم.
fa_0491|می توانید یک لحظه اینجا منتظر بمانید؟
fa_0492|می توانید کمربند تان را دربیاورید، لطفا؟
fa_0493|از این امامزاده کسی معجزه نمی‌بینه
fa_0494|می‌تواند یک موضوع تطبیقی باشد
fa_0495|از این تابع معکوس بگیر.
fa_0496|می توانید لطفاً آن را در صندوق بالای سر بگذارید؟
fa_0497|می توانید لطفاً به خانواده من اطلاع دهید؟
fa_0498|می توانید لطفا یک بالشت دیگر بیاورید؟
fa_0499|بستگی دارد.
fa_0500|دوشیزه وین به زودی خانم جونز می شود.
fa_0501|می توانید هتل دیگری توصیه کنید؟
fa_0502|بیست و چهار، بیست و پنج، بیست و شش.
fa_0503|دو عاقل ممکن است بر یک چیز اتفاق کنند
fa_0504|و مشغول شستن میشود
fa_0505|دولت جدید پس از یک جنگ طولانی برای استقلال بوجود آمد
